name,surname,age,zip,bank,disease
Damiano,Tartini,29,16975,30073,tifo
Ramona,Tiepolo,25,16580,522290,colera
Atenulf,Gualtieri,1,16190,389906,colera
Adelmo,Ligorio,42,16061,370453,niente
Carolina,Foa,89,16551,159693,tubercolosi
Delfino,Prada,27,16442,644948,tifo
Torquato,Cabrini,39,16860,153529,niente
Olga,Ubaldi,70,16568,79630,niente
Matilda,Innocenti,8,16924,877407,tubercolosi
Luciano,Boldù,15,16457,503173,tubercolosi
Paoletta,Collodi,11,16979,250512,niente
Cassandra,Cuomo,61,16825,786305,influenza
Romeo,Ferrari,60,16145,724508,tifo
Puccio,Liverotti,52,16517,33695,niente
Amalia,Campano,2,16660,891797,colera
Concetta,Garozzo,54,16344,454024,covid-19
Rosaria,Gonzaga,7,16167,378184,polmonite
Flavia,Renault,83,16759,783685,influenza
Raimondo,Mozart,28,16521,898839,tifo
Piermaria,Gualandi,38,16369,886423,tifo
Alessio,Altera,66,16856,433230,tifo
Gustavo,Foa,35,16834,355058,polmonite
Federico,Tarantini,67,16647,146126,tifo
Giovanni,Faggiani,59,16916,227054,ebola
Teresa,Mercantini,46,16844,615399,covid-19
Gianfrancesco,Disdero,5,16528,439691,tifo
Gioffre,Fanucci,63,16606,359411,polmonite
Antonello,Interminei,39,16518,295927,influenza
Martino,Biagiotti,59,16071,974213,malaria
Nanni,Pavarotti,23,16007,748744,tifo
Fredo,Adinolfi,44,16170,784531,influenza
Pietro,Gussoni,53,16115,493889,polmonite
Fortunata,Bellucci,38,16591,940374,influenza
Mattia,Paruta,88,16250,738559,colera
Adriano,Volta,75,16611,885806,polmonite
Tonino,Fusani,22,16350,517348,polmonite
Teresa,Piccinni,85,16343,245630,covid-19
Stefani,Tassoni,51,16770,680840,covid-19
Michelangelo,Jovinelli,53,16489,956056,polmonite
Mattia,Tebaldi,15,16695,628530,niente
Matilda,Sgalambro,95,16378,723066,tubercolosi
Lilla,Storladi,98,16397,784942,tifo
Raffaellino,Tarantini,28,16245,96657,tifo
Rembrandt,Persico,18,16296,445835,tubercolosi
Agnolo,Pininfarina,54,16091,232637,covid-19
Annalisa,Malatesta,89,16265,487526,polmonite
Calogero,Sgalambro,88,16024,146663,niente
Luciana,Legnante,37,16377,395842,niente
Rossana,Iannelli,48,16996,494352,niente
Enzio,Fischetti,93,16591,75155,malaria
Bartolomeo,Fracci,74,16387,884557,tifo
Nanni,Galeati,26,16531,536159,influenza
Ranieri,Tomei,29,16476,246344,polmonite
Sabatino,Abate,58,16211,926984,polmonite
Maria,Renault,13,16982,916003,niente
Amalia,Bosio,84,16351,773524,colera
Aurora,Metella,25,16009,555664,covid-19
Enrico,Palazzo,79,16230,766140,colera
Pasquale,Fibonacci,53,16532,114095,niente
Gioele,Bonaventura,73,16338,438540,malaria
Federico,Gianvecchio,51,16990,769934,influenza
Pierina,Procacci,68,16506,787492,niente
Uberto,Canil,95,16614,732699,tubercolosi
Stefani,Vendetti,84,16273,271477,covid-19
Vittorio,Zecchini,79,16983,633075,tifo
Tiziano,Metella,34,16289,983680,tubercolosi
Ottavio,Staglieno,31,16092,957089,covid-19
Ciro,Scalfaro,57,16299,399864,polmonite
Baccio,Pasqua,41,16090,324939,influenza
Girolamo,Viviani,84,16282,89275,tubercolosi
Calogero,Guarato,99,16577,943479,ebola
Ruggero,Pinamonte,91,16193,755106,covid-19
Nina,Bongiorno,51,16780,149705,malaria
Loredana,Barcaccia,61,16496,959393,malaria
Lisa,Parmitano,36,16119,657880,niente
Amadeo,Trussardi,94,16990,417093,tifo
Ranieri,Baggio,85,16100,525476,malaria
Vittorio,Mantegna,49,16785,166415,colera
Umberto,Paltrinieri,18,16311,925748,tubercolosi
Galasso,Gullotta,13,16489,523372,influenza
Maura,Bandello,36,16733,341244,influenza
Silvio,Gremese,55,16855,230389,tifo
Giacinto,Sabatini,75,16217,273514,malaria
Luchino,Tasso,99,16727,592089,influenza
Enrico,Giammusso,24,16240,101946,colera
Rita,Aloisio,29,16990,70699,malaria
Ninetta,Visconti,52,16011,801178,influenza
Letizia,Zoppetto,29,16827,86529,influenza
Giorgio,Zaccardo,10,16188,421257,niente
Vincenza,Boezio,88,16586,33671,colera
Danilo,Rizzoli,88,16253,493353,influenza
Ciro,Porcellato,37,16744,258451,influenza
Piergiorgio,Bernini,7,16495,791903,tubercolosi
Filippa,Bondumier,49,16985,903432,niente
Mauro,Surian,39,16863,571194,covid-19
Emilio,Sauro,17,16357,3010,malaria
Gustavo,Lanfranchi,99,16413,572029,ebola
Alberico,Priuli,93,16888,715006,tubercolosi
Gemma,Bajardi,82,16592,147611,covid-19
Beatrice,Trillini,79,16255,620465,polmonite
Isa,Calarco,19,16931,895667,ebola
Raimondo,Fantoni,15,16464,424137,malaria
Loretta,Loredan,79,16570,868361,tubercolosi
Agnolo,Traversa,96,16988,498244,malaria
Ricciotti,Einaudi,20,16145,406850,covid-19
Lucio,Borzomì,83,16596,771818,influenza
Lando,Parini,64,16376,798760,colera
Massimiliano,Letta,87,16453,588655,colera
Manuel,Rensi,39,16395,653901,covid-19
Tonino,Porcellato,99,16037,466864,influenza
Dario,Pacomio,13,16703,263021,polmonite
Temistocle,Giusti,76,16685,364739,niente
Costantino,Trillini,65,16902,3016,tubercolosi
Alessandra,Nicolini,86,16513,10957,influenza
Mirko,Malacarne,73,16570,750197,influenza
Elmo,Sagese,27,16669,413949,niente
Giancarlo,Lupo,64,16303,150065,tubercolosi
Michelotto,Barzini,58,16541,738137,tifo
Nedda,Maggioli,7,16393,218848,polmonite
Iolanda,Volta,12,16278,19027,tubercolosi
Stefania,Chiappetta,55,16808,668597,ebola
Ugo,Barbarigo,96,16613,655617,ebola
Torquato,Bonino,96,16092,320118,tubercolosi
Lucrezia,Manolesso,9,16635,831782,tifo
Pina,Pagliaro,79,16546,662147,influenza
Napoleone,Botta,45,16801,154937,niente
Ricciotti,Galiazzo,5,16521,779855,polmonite
Bianca,Ruffini,85,16578,908744,influenza
Liana,Valentino,33,16432,200740,ebola
Luigi,Antonini,15,16846,271776,tubercolosi
Federigo,Pistoletto,62,16857,428547,tifo
Iolanda,Toldo,46,16361,70378,malaria
Romina,Manunta,25,16280,480079,ebola
Fabia,Volterra,26,16899,923391,influenza
Ludovico,Baresi,57,16376,905879,ebola
Bartolomeo,Majorana,93,16237,625418,colera
Leone,Lerner,68,16252,390792,colera
Ida,Perozzo,62,16699,636521,covid-19
Elmo,Verri,20,16891,598370,niente
Giuliano,Pavarotti,45,16962,891649,colera
Silvestro,Cappelli,2,16141,71717,ebola
Matilda,Pizziol,4,16994,847182,tifo
Gianpaolo,Trobbiani,52,16922,668935,influenza
Donatella,Gregori,93,16486,185335,malaria
Tonino,Bembo,64,16861,732423,tifo
Orazio,Cagnotto,82,16243,540482,ebola
Riccardo,Baglioni,91,16695,895955,covid-19
Lolita,Rossetti,68,16204,764809,colera
Gioacchino,Udinese,85,16272,660704,covid-19
Gianpietro,Berlusconi,75,16565,261998,influenza
Loredana,Papafava,53,16078,944991,covid-19
Annetta,Comeriato,71,16460,318874,tifo
Fabrizia,Franzese,12,16477,985577,tubercolosi
Fedele,Cundari,25,16654,147125,colera
Giulietta,Gualandi,19,16672,234789,influenza
Salvi,Malenchini,27,16074,716366,colera
Puccio,Rapisardi,34,16759,772926,colera
Pietro,Cavalcanti,48,16924,772036,influenza
Augusto,Altera,85,16026,141269,tubercolosi
Marina,Moneta,18,16480,66559,ebola
Alberto,Dandolo,48,16786,702226,tifo
Loretta,Riccardi,30,16676,387912,malaria
Ricciotti,Bonino,76,16650,240620,tubercolosi
Pasquale,Marazzi,65,16274,60993,influenza
Carolina,Lombardo,81,16166,653602,niente
Teresa,Bajamonti,81,16410,155364,tubercolosi
Benito,Gucci,77,16483,293370,covid-19
Ludovico,Gremese,63,16326,545812,covid-19
Tatiana,Zanzi,33,16629,871872,polmonite
Tatiana,Cilea,43,16181,616630,covid-19
Ramona,Gori,45,16756,517175,polmonite
Telemaco,Travaglia,79,16227,274660,covid-19
Luigi,Tamburini,46,16824,382221,influenza
Pomponio,Priuli,39,16031,337829,malaria
Nicolò,Nolcini,58,16562,917413,colera
Eraldo,Olivetti,68,16311,531859,covid-19
Lina,Battisti,76,16116,11931,niente
Beatrice,Proietti,42,16782,480579,tubercolosi
Lucrezia,Gibilisco,34,16678,890714,colera
Elmo,Leone,23,16045,10936,niente
Gianpietro,Zichichi,82,16836,940082,tifo
Girolamo,Fuseli,53,16497,639752,malaria
Michelangelo,Bajamonti,81,16831,585637,tubercolosi
Giosuè,Beffa,89,16459,774026,influenza
Niccolò,Majewski,90,16769,327171,covid-19
Emma,Trillini,3,16136,185165,covid-19
Roman,Vismara,26,16388,114459,niente
Lidia,Tozzo,98,16204,619144,ebola
Pietro,Soprano,87,16470,957398,tifo
Stefani,Lattuada,52,16835,368076,ebola
Ugo,Trincavelli,33,16618,934928,niente
Melania,Fantini,46,16657,137768,colera
Salvatore,Filogamo,16,16291,155215,ebola
Rodolfo,Baggio,54,16168,421760,polmonite
Ubaldo,Udinesi,58,16677,761344,tifo
Licia,Guicciardini,3,16828,252483,niente
Edoardo,Cibin,98,16679,524880,ebola
Bernardo,Peranda,7,16080,15194,colera
Fabrizia,Benigni,22,16664,495185,tifo
Piermaria,Martinelli,30,16009,994847,colera
Giorgio,Rocca,1,16539,965380,covid-19
Ippazio,Gianinazzi,10,16879,23292,tifo
Dionigi,Campano,47,16825,88782,malaria
Franco,Schiaparelli,71,16715,518342,tubercolosi
Greco,Volta,63,16472,231240,tubercolosi
Saverio,Germano,29,16547,997749,influenza
Renata,Toldo,55,16831,937411,covid-19
Gioacchino,Asmundo,82,16620,325244,ebola
Veronica,Marangoni,91,16239,610588,influenza
Luciana,Contrafatto,88,16157,113951,ebola
Oreste,Ricci,66,16292,321035,colera
Giovanna,Schiaparelli,86,16097,229845,colera
Rodolfo,Geraci,85,16498,164300,niente
Martino,Majewski,99,16814,986586,ebola
Milo,Valier,4,16351,13416,niente
Aurora,Borsellino,27,16576,94917,ebola
Armando,Petrucci,61,16867,331096,tifo
Cesare,Caironi,4,16367,154767,malaria
Sandro,Pavanello,64,16912,410664,tubercolosi
Antonino,Cipolla,61,16179,94345,tifo
Donna,Berrè,61,16075,115523,influenza
Francesca,Satriani,26,16425,690340,malaria
Leonardo,Brichese,79,16782,806991,tifo
Loretta,Sansoni,4,16572,272468,tifo
Lolita,Canova,94,16924,217027,covid-19
Micheletto,Gentili,4,16296,779757,covid-19
Mattia,Taliercio,50,16443,284624,tifo
Maria,Pucci,67,16290,424125,malaria
Emilio,Padovano,35,16853,829789,colera
Etta,Tebaldi,99,16586,744012,colera
Fabrizia,Carnera,73,16916,910335,covid-19
Graziano,Nolcini,52,16732,61285,tubercolosi
Martino,Mercantini,36,16953,478447,colera
Carlo,Sanudo,47,16059,904867,niente
Chiara,Benigni,26,16702,167137,influenza
Ivo,Adinolfi,24,16082,696074,polmonite
Luciana,Juvara,42,16841,733617,tubercolosi
Alberico,Rapisardi,76,16819,952112,influenza
Tullio,Nitti,53,16885,496210,malaria
Roberto,Soprano,79,16084,741972,ebola
Serena,Baggio,75,16404,114930,polmonite
Gino,Guicciardini,77,16939,130768,influenza
Lodovico,Raurica,10,16847,237668,covid-19
Sergius,Bellò,31,16880,116703,tifo
Pierina,Rinaldi,86,16743,483585,influenza
Armando,Gregorio,31,16777,168978,malaria
Maurilio,Cutrufo,31,16156,465500,influenza
Bernardo,Borsellino,2,16237,891007,covid-19
Laura,Cendron,4,16200,458545,malaria
Ubaldo,Scarlatti,10,16172,958567,ebola
Gaspare,Ortolani,8,16075,791611,covid-19
Elena,Doglioni,85,16859,285708,tubercolosi
Giovanna,Veltroni,37,16813,466834,niente
Mario,Camicione,98,16333,512435,tubercolosi
Mariano,Iacobucci,60,16163,430862,niente
Edoardo,Novaro,9,16423,448470,colera
Rosalia,Dulbecco,38,16005,675358,colera
Mariano,Bernardi,84,16185,366490,influenza
Maria,Boccaccio,88,16444,789881,polmonite
Ennio,Brenna,56,16074,582741,colera
Ugo,Magnani,87,16601,912142,tubercolosi
Loredana,Lerner,38,16594,838649,tifo
Ciro,Iacobucci,23,16775,520108,colera
Cassandra,Segrè,92,16421,382289,covid-19
Graziella,Scarpa,46,16837,697505,influenza
Giacomo,Serlupi,14,16201,550103,ebola
Maria,Brugnaro,96,16896,37100,tubercolosi
Venancio,Loredan,33,16812,335571,influenza
Temistocle,Almagià,94,16008,622585,covid-19
Edoardo,Mercantini,49,16158,565677,polmonite
Leopoldo,Borromeo,97,16485,105972,covid-19
Roberto,Errigo,10,16658,326438,malaria
Bernardo,Ovadia,35,16652,401097,polmonite
Alberto,Panzera,39,16751,939279,polmonite
Gustavo,Zacco,28,16333,955484,malaria
Concetta,Tolentino,13,16140,208290,malaria
Vanessa,Antonetti,85,16896,524524,niente
Beppe,Aldobrandi,48,16454,46589,malaria
Carmelo,Petruzzi,19,16320,245555,niente
Gaspare,Giannelli,76,16307,164088,polmonite
Alessandro,Borrani,54,16947,468484,niente
Amanda,Varano,32,16622,925738,ebola
Germana,Salvemini,52,16595,923726,influenza
Liliana,Pedersoli,38,16838,679947,tubercolosi
Camillo,Lancisi,97,16432,994781,malaria
Ottone,Paltrinieri,60,16664,561519,tifo
Raffaello,Tomei,92,16457,578036,polmonite
Ivo,Dallapé,70,16412,295355,colera
Ermenegildo,Baracca,7,16760,2492,tubercolosi
Venancio,Abatantuono,5,16874,286289,tubercolosi
Elmo,Ungaretti,41,16207,444030,tifo
Ottone,Pulci,36,16105,27304,colera
Filippa,Vigorelli,80,16371,176554,niente
Severino,Mocenigo,10,16314,878748,tifo
Lina,Rinaldi,82,16353,954532,malaria
Ottone,Sonnino,13,16599,795783,malaria
Rita,Mercati,80,16381,426269,covid-19
Virginia,Righi,38,16207,115816,tubercolosi
Bruno,Onio,60,16987,726028,polmonite
Gino,Borrani,15,16860,795724,malaria
Pierina,Cerutti,29,16441,157753,covid-19
Ernesto,Dossetti,75,16242,338846,tifo
Adriana,Chiappetta,39,16404,694535,polmonite
Annunziata,Romiti,83,16361,839676,polmonite
Silvio,Marenzio,92,16011,318212,polmonite
Romeo,Camiscione,87,16947,70650,ebola
Flora,Fuseli,87,16246,600297,niente
Iolanda,Rosiello,24,16244,257554,tifo
Donato,Tamborini,84,16823,600363,ebola
Azeglio,Tolentino,83,16215,737437,polmonite
Giampaolo,Cainero,60,16539,472157,ebola
Ernesto,Faugno,47,16480,455493,ebola
Arnulfo,Mogherini,87,16855,282192,niente
Lando,Opizzi,20,16840,4052,colera
Alberto,Guglielmi,43,16543,710912,polmonite
Elvira,Piccinni,28,16281,618712,covid-19
Massimo,Jilani,41,16920,638828,polmonite
Renata,Babato,34,16802,434440,colera
Ignazio,Gabbana,31,16055,653167,colera
Elvira,Agnesi,73,16991,53302,niente
Azeglio,Treccani,32,16726,921720,tubercolosi
Dolores,Iacovelli,39,16970,675179,tifo
Simone,Grimani,24,16711,250825,colera
Gino,Pignatti,58,16160,997594,colera
Silvia,Chinnici,64,16808,185604,influenza
Uberto,Piazzi,7,16374,194031,polmonite
Antonella,Goldstein,74,16581,901604,malaria
Galasso,Pedroni,57,16743,606587,colera
Vincenza,Cavanna,16,16073,698443,polmonite
Mercedes,Basso,56,16166,752125,tubercolosi
Camilla,Boito,76,16395,788517,influenza
Amedeo,Peranda,82,16107,577414,influenza
Liliana,Gigli,83,16556,593469,covid-19
Federigo,Finotto,11,16219,13744,polmonite
Milena,Caccianemico,34,16781,515459,niente
Vincentio,Galilei,28,16082,849771,colera
Coluccio,Zaguri,81,16260,752140,covid-19
Giancarlo,Mastandrea,77,16746,939899,covid-19
Milena,Agostini,19,16567,595530,niente
Alberto,Cheda,92,16862,182195,malaria
Tiziano,Giammusso,59,16396,45163,malaria
Gianfrancesco,Petralli,87,16225,818360,ebola
Camillo,Palumbo,89,16503,714996,ebola
Amanda,Palmisano,73,16285,24198,niente
Gino,Federici,44,16679,532199,covid-19
Marta,Costanzi,48,16229,22482,tifo
Ottavio,Armani,45,16043,495137,tifo
Fiorino,Saffi,67,16287,832679,tubercolosi
Giulio,Caffarelli,54,16519,842141,covid-19
Simone,Dellucci,21,16262,815050,tifo
Paolo,Malipiero,65,16232,22326,covid-19
Lazzaro,Pareto,52,16145,287511,polmonite
Gianfrancesco,Bossi,78,16173,771352,tifo
Alessio,Torricelli,9,16942,308187,polmonite
Raffaella,Filzi,2,16450,439590,malaria
Tonia,Druso,14,16214,444982,polmonite
Margherita,Gori,43,16467,990549,ebola
Corrado,Foconi,99,16762,125748,tifo
Dionigi,Malipiero,73,16968,968307,niente
Gianpaolo,Bassi,13,16022,755578,tifo
Martino,Badoglio,57,16621,836432,covid-19
Giorgia,Vasari,22,16887,201506,tifo
Silvestro,Opizzi,90,16367,495562,influenza
Ugolino,Marini,81,16332,364226,ebola
Antonina,Pausini,97,16580,376695,polmonite
Concetta,Spadafora,85,16469,923219,covid-19
Pomponio,Strangio,1,16387,8198,influenza
Lando,Trebbi,20,16089,966453,colera
Camillo,Bacosi,36,16993,530420,malaria
Luca,Napolitano,66,16300,775250,tubercolosi
Osvaldo,Brambilla,72,16775,60847,colera
Tiziano,Fantoni,99,16744,288321,niente
Graziano,Barbarigo,72,16042,558007,tifo
Ermanno,Travia,18,16478,83233,niente
Ermes,Lucciano,12,16529,628166,covid-19
Marta,Boiardo,98,16216,578003,tubercolosi
Ranieri,Gramsci,85,16309,555841,malaria
Raffaele,Fattori,98,16419,362777,colera
Virginia,Trevisani,15,16582,151362,polmonite
Francesca,Campise,54,16789,377086,niente
Antonietta,Petrucelli,92,16061,262284,influenza
Atenulf,Offredi,62,16677,616672,ebola
Claudia,Vitturi,60,16949,113691,covid-19
Amico,Gabrieli,36,16731,283489,niente
Fulvio,Casagrande,30,16852,103200,tubercolosi
Rocco,Antonucci,49,16709,800873,malaria
Enzio,Salvo,42,16948,326752,covid-19
Isa,Canevascini,96,16752,771966,covid-19
Gino,Miniati,9,16485,344362,colera
Ugolino,Iannotti,22,16905,623476,covid-19
Claudio,Natta,32,16241,159725,niente
Alfredo,Carducci,24,16005,85600,niente
Daniele,Sgalambro,48,16775,743916,tubercolosi
Daria,Lupo,92,16949,588165,malaria
Gianluca,Emo,7,16846,306797,niente
Elisa,Vidoni,54,16301,134691,polmonite
Martino,Dibiasi,8,16631,915776,covid-19
Enzo,Cimini,99,16292,595086,malaria
Adriana,Catenazzi,13,16249,464335,colera
Michelotto,Jacuzzi,64,16457,220899,tifo
Livio,Bartoli,36,16505,42160,polmonite
Gioachino,Fieramosca,11,16439,44504,tifo
Renata,Fieramosca,70,16589,363261,malaria
Livia,Ferrata,30,16891,759487,tifo
Giacomo,Vergassola,67,16418,774641,tubercolosi
Donna,Gagliardi,54,16502,394942,covid-19
Orazio,Surian,43,16110,459743,tifo
Gionata,Bocca,80,16741,765532,covid-19
Emilio,Filangieri,89,16205,805194,colera
Luca,Giunti,95,16097,330932,colera
Marissa,Sraffa,10,16653,884612,tifo
Roberto,Rusticucci,39,16244,243319,colera
Paolo,Trevisan,45,16647,25542,ebola
Adelasia,Saraceno,18,16394,6201,colera
Lodovico,Zanazzo,16,16110,717054,tubercolosi
Concetta,Squarcione,23,16425,247701,niente
Graziella,Pedrazzini,64,16014,626232,tubercolosi
Pellegrino,Zaccardo,3,16929,321316,ebola
Rosaria,Duse,57,16774,785351,ebola
Ermanno,Ficino,39,16329,653631,tifo
Germana,Binaghi,36,16880,479364,covid-19
Umberto,Borzomì,9,16743,640097,malaria
Imelda,Dandolo,33,16958,489032,malaria
Sandro,Traetta,76,16739,133011,ebola
Giulia,Casaleggio,40,16730,729129,ebola
Letizia,Orengo,14,16597,326046,tifo
Aria,Garobbio,74,16165,850559,niente
Rosario,Gottardi,29,16997,975702,tifo
Giacomo,Sabatini,63,16395,942030,malaria
Ruggiero,Romiti,83,16378,830902,colera
Bartolomeo,Antonello,26,16062,94450,tubercolosi
Carla,Ammaniti,87,16334,697774,influenza
Beppe,Sagredo,87,16894,871294,covid-19
Fiorenzo,Sobrero,19,16179,612572,influenza
Mauro,Brenna,73,16946,801665,ebola
Michela,Gramsci,30,16556,652440,influenza
Simone,Monteverdi,64,16550,727851,influenza
Vincenzo,Tremonti,64,16128,757159,influenza
Delfino,Gabbana,71,16314,538408,covid-19
Federigo,Serao,72,16832,562726,colera
Camillo,Mocenigo,62,16779,533036,colera
Roberta,Turchetta,62,16915,126164,malaria
Sabatino,Borsiere,59,16813,46005,tubercolosi
Marissa,Surian,39,16377,259206,colera
Flavio,Gentileschi,99,16304,89490,polmonite
Calogero,Maggioli,57,16273,602941,niente
Amanda,Pigafetta,5,16167,75353,tubercolosi
Laureano,Regge,49,16265,544450,malaria
Annibale,Verdone,80,16113,344657,ebola
Ludovica,Metella,82,16832,998859,ebola
Milo,Magnani,74,16510,352590,covid-19
Angelica,Innocenti,71,16628,676921,colera
Giulietta,Carriera,10,16846,739890,ebola
Marta,Lussu,48,16351,428687,ebola
Lolita,Tarchetti,95,16403,330940,niente
Azeglio,Romagnoli,44,16978,929552,tubercolosi
Atenulf,Colletti,63,16647,378842,niente
Ignazio,Cherubini,62,16599,778356,niente
Luca,Mercati,9,16810,271619,ebola
Camilla,Navone,44,16982,132313,covid-19
Gioacchino,Mazzocchi,85,16130,511466,ebola
Tonino,Treves,44,16599,617601,covid-19
Giulio,Luzi,16,16246,321102,niente
Susanna,Briccialdi,57,16590,73234,polmonite
Amadeo,Nicolucci,22,16944,915790,influenza
Fabia,Geraci,62,16433,128322,tifo
Lisa,Pietrangeli,94,16155,653564,malaria
Annibale,Ferrucci,90,16677,933923,malaria
