name,surname,age,zip,bank,disease
Fabrizio,Iannucci,0,16500,388641,niente
Gioffre,Cesarotti,80,16200,449826,ebola
Gemma,Pace,90,16500,851417,polmonite
Leopoldo,Avogadro,0,16000,742385,covid-19
Martina,Anguissola,40,16600,334627,colera
Paolo,Ferrata,80,16000,588397,tubercolosi
Luca,Ligorio,90,16700,112185,tifo
Dolores,Lercari,90,16000,696084,polmonite
Carla,Catalano,40,16000,5445,polmonite
Eugenia,Giolitti,60,16200,440040,niente
Giacomo,Antonello,80,16000,293191,colera
Francesco,Contarini,90,16000,314360,malaria
Gelsomina,Russo,70,16100,405326,polmonite
Eva,Renier,80,16000,695483,ebola
Elvira,Ruffini,10,16000,390268,malaria
Adelmo,Sforza,80,16100,299723,tubercolosi
Sabatino,Zampa,0,16900,694689,ebola
Isabella,Pirelli,10,16100,307150,colera
Ramona,Boldù,40,16700,796617,covid-19
Amanda,Lombardo,70,16000,163041,colera
Mario,Iannelli,80,16500,559922,covid-19
Tina,Capuana,30,16700,968590,polmonite
Luigina,Scarponi,20,16900,280605,niente
Gianluca,Meucci,90,16000,928869,colera
Daniele,Franscini,10,16000,489927,covid-19
Dina,Gregorio,70,16400,773474,polmonite
Vittorio,Gentileschi,20,10000,917633,colera
Federico,Argento,80,16900,714384,malaria
Tonia,Gravina,50,16000,70251,polmonite
Bettina,Palmisano,60,16900,290407,polmonite
Antonina,Niscoromni,40,16000,417480,polmonite
Goffredo,Pedersoli,60,16000,899979,ebola
Silvio,Curatoli,60,16200,183245,tubercolosi
Osvaldo,Agostini,50,16500,61459,tubercolosi
Giovanna,Venturi,30,16000,630821,niente
Amalia,Ferrazzi,10,16300,826965,malaria
Rita,Sermonti,0,16500,274207,malaria
Rosalia,Ricciardi,10,16100,231443,tifo
Amleto,Donarelli,60,16700,941663,colera
Giulietta,Nitti,50,16800,380309,malaria
Gioffre,Piazzi,40,16600,34135,colera
Adelmo,Rosiello,40,16400,981088,malaria
Gabriella,Majorana,90,16900,268992,niente
Giampiero,Marini,50,16900,674094,polmonite
Niccolò,Berengario,70,16600,587378,influenza
Milena,Papetti,80,16000,262544,influenza
Ubaldo,Staglieno,60,16000,556912,polmonite
Gioachino,Ottino,80,16000,63656,malaria
Pompeo,Garozzo,40,16700,507888,covid-19
Bruno,Martucci,10,16100,265175,covid-19
Pellegrino,Spinelli,20,16100,692913,colera
Damiano,Tartini,20,16900,30073,tifo
Ramona,Tiepolo,20,16000,522290,colera
Atenulf,Gualtieri,0,16000,389906,colera
Adelmo,Ligorio,40,16000,370453,niente
Carolina,Foa,80,16500,159693,tubercolosi
Delfino,Prada,20,16400,644948,tifo
Torquato,Cabrini,30,16000,153529,niente
Olga,Ubaldi,60,16500,79630,niente
Matilda,Innocenti,0,16900,877407,tubercolosi
Luciano,Boldù,10,16400,503173,tubercolosi
Paoletta,Collodi,10,16900,250512,niente
Cassandra,Cuomo,60,16800,786305,influenza
Romeo,Ferrari,40,16100,724508,tifo
Puccio,Liverotti,50,16500,33695,niente
Amalia,Campano,0,16000,891797,colera
Concetta,Garozzo,50,16300,454024,covid-19
Rosaria,Gonzaga,0,16100,378184,polmonite
Flavia,Renault,80,16700,783685,influenza
Raimondo,Mozart,20,16500,898839,tifo
Piermaria,Gualandi,30,16300,886423,tifo
Alessio,Altera,60,16800,433230,tifo
Gustavo,Foa,30,16800,355058,polmonite
Federico,Tarantini,60,16600,146126,tifo
Giovanni,Faggiani,50,16900,227054,ebola
Teresa,Mercantini,40,16800,615399,covid-19
Gianfrancesco,Disdero,0,16500,439691,tifo
Gioffre,Fanucci,60,16000,359411,polmonite
Antonello,Interminei,30,16500,295927,influenza
Martino,Biagiotti,50,16000,974213,malaria
Nanni,Pavarotti,20,10000,748744,tifo
Fredo,Adinolfi,40,16000,784531,influenza
Pietro,Gussoni,50,16100,493889,polmonite
Fortunata,Bellucci,30,16500,940374,influenza
Mattia,Paruta,80,16000,738559,colera
Adriano,Volta,70,16600,885806,polmonite
Tonino,Fusani,20,16000,517348,polmonite
Teresa,Piccinni,80,16300,245630,covid-19
Stefani,Tassoni,50,16000,680840,covid-19
Michelangelo,Jovinelli,50,16400,956056,polmonite
Mattia,Tebaldi,10,16600,628530,niente
Matilda,Sgalambro,90,16300,723066,tubercolosi
Lilla,Storladi,90,16300,784942,tifo
Raffaellino,Tarantini,20,16200,96657,tifo
Rembrandt,Persico,10,16200,445835,tubercolosi
Agnolo,Pininfarina,50,16000,232637,covid-19
Annalisa,Malatesta,80,16200,487526,polmonite
Calogero,Sgalambro,80,16000,146663,niente
Luciana,Legnante,30,16300,395842,niente
Rossana,Iannelli,40,16900,494352,niente
Enzio,Fischetti,90,16500,75155,malaria
Bartolomeo,Fracci,70,16300,884557,tifo
Nanni,Galeati,20,16500,536159,influenza
Ranieri,Tomei,20,16400,246344,polmonite
Sabatino,Abate,50,16200,926984,polmonite
Maria,Renault,10,16900,916003,niente
Amalia,Bosio,80,16300,773524,colera
Aurora,Metella,20,10000,555664,covid-19
Enrico,Palazzo,70,16000,766140,colera
Pasquale,Fibonacci,50,16500,114095,niente
Gioele,Bonaventura,70,16300,438540,malaria
Federico,Gianvecchio,50,16000,769934,influenza
Pierina,Procacci,60,16000,787492,niente
Uberto,Canil,90,16600,732699,tubercolosi
Stefani,Vendetti,80,16200,271477,covid-19
Vittorio,Zecchini,70,16900,633075,tifo
Tiziano,Metella,30,16200,983680,tubercolosi
Ottavio,Staglieno,30,16000,957089,covid-19
Ciro,Scalfaro,50,16200,399864,polmonite
Baccio,Pasqua,40,10000,324939,influenza
Girolamo,Viviani,80,16200,89275,tubercolosi
Calogero,Guarato,90,16500,943479,ebola
Ruggero,Pinamonte,90,16100,755106,covid-19
Nina,Bongiorno,50,16000,149705,malaria
Loredana,Barcaccia,60,16400,959393,malaria
Lisa,Parmitano,30,16100,657880,niente
Amadeo,Trussardi,90,16000,417093,tifo
Ranieri,Baggio,80,10000,525476,malaria
Vittorio,Mantegna,40,16700,166415,colera
Umberto,Paltrinieri,10,16300,925748,tubercolosi
Galasso,Gullotta,10,16400,523372,influenza
Maura,Bandello,30,16700,341244,influenza
Silvio,Gremese,50,16800,230389,tifo
Giacinto,Sabatini,70,16200,273514,malaria
Luchino,Tasso,90,16700,592089,influenza
Enrico,Giammusso,20,16000,101946,colera
Rita,Aloisio,20,16000,70699,malaria
Ninetta,Visconti,50,16000,801178,influenza
Letizia,Zoppetto,20,16800,86529,influenza
Giorgio,Zaccardo,0,16100,421257,niente
Vincenza,Boezio,80,16500,33671,colera
Danilo,Rizzoli,80,16200,493353,influenza
Ciro,Porcellato,30,16700,258451,influenza
Piergiorgio,Bernini,0,16400,791903,tubercolosi
Filippa,Bondumier,40,16900,903432,niente
Mauro,Surian,30,16800,571194,covid-19
Emilio,Sauro,10,16300,3010,malaria
Gustavo,Lanfranchi,90,16400,572029,ebola
Alberico,Priuli,90,16800,715006,tubercolosi
Gemma,Bajardi,80,16500,147611,covid-19
Beatrice,Trillini,70,16200,620465,polmonite
Isa,Calarco,10,16900,895667,ebola
Raimondo,Fantoni,10,16400,424137,malaria
Loretta,Loredan,70,16000,868361,tubercolosi
Agnolo,Traversa,90,16900,498244,malaria
Ricciotti,Einaudi,0,16100,406850,covid-19
Lucio,Borzomì,80,16500,771818,influenza
Lando,Parini,60,16300,798760,colera
Massimiliano,Letta,80,16400,588655,colera
Manuel,Rensi,30,16300,653901,covid-19
Tonino,Porcellato,90,16000,466864,influenza
Dario,Pacomio,10,16000,263021,polmonite
Temistocle,Giusti,70,16600,364739,niente
Costantino,Trillini,60,16000,3016,tubercolosi
Alessandra,Nicolini,80,16500,10957,influenza
Mirko,Malacarne,70,16000,750197,influenza
Elmo,Sagese,20,16600,413949,niente
Giancarlo,Lupo,60,16000,150065,tubercolosi
Michelotto,Barzini,50,16500,738137,tifo
Nedda,Maggioli,0,16300,218848,polmonite
Iolanda,Volta,10,16200,19027,tubercolosi
Stefania,Chiappetta,50,16000,668597,ebola
Ugo,Barbarigo,90,16600,655617,ebola
Torquato,Bonino,90,16000,320118,tubercolosi
Lucrezia,Manolesso,0,16600,831782,tifo
Pina,Pagliaro,70,16500,662147,influenza
Napoleone,Botta,40,16000,154937,niente
Ricciotti,Galiazzo,0,16500,779855,polmonite
Bianca,Ruffini,80,16500,908744,influenza
Liana,Valentino,30,16400,200740,ebola
Luigi,Antonini,10,16800,271776,tubercolosi
Federigo,Pistoletto,60,16800,428547,tifo
Iolanda,Toldo,40,16300,70378,malaria
Romina,Manunta,20,16000,480079,ebola
Fabia,Volterra,20,16800,923391,influenza
Ludovico,Baresi,50,16300,905879,ebola
Bartolomeo,Majorana,90,16200,625418,colera
Leone,Lerner,60,16200,390792,colera
Ida,Perozzo,60,16600,636521,covid-19
Elmo,Verri,0,16800,598370,niente
Giuliano,Pavarotti,40,16900,891649,colera
Silvestro,Cappelli,0,16100,71717,ebola
Matilda,Pizziol,0,16900,847182,tifo
Gianpaolo,Trobbiani,50,16900,668935,influenza
Donatella,Gregori,90,16400,185335,malaria
Tonino,Bembo,60,16800,732423,tifo
Orazio,Cagnotto,80,16200,540482,ebola
Riccardo,Baglioni,90,16600,895955,covid-19
Lolita,Rossetti,60,16000,764809,colera
Gioacchino,Udinese,80,16200,660704,covid-19
Gianpietro,Berlusconi,70,16500,261998,influenza
Loredana,Papafava,50,16000,944991,covid-19
Annetta,Comeriato,70,16000,318874,tifo
Fabrizia,Franzese,10,16400,985577,tubercolosi
Fedele,Cundari,20,16600,147125,colera
Giulietta,Gualandi,10,16600,234789,influenza
Salvi,Malenchini,20,16000,716366,colera
Puccio,Rapisardi,30,16700,772926,colera
Pietro,Cavalcanti,40,16900,772036,influenza
Augusto,Altera,80,16000,141269,tubercolosi
Marina,Moneta,10,16000,66559,ebola
Alberto,Dandolo,40,16700,702226,tifo
Loretta,Riccardi,20,16600,387912,malaria
Ricciotti,Bonino,70,16000,240620,tubercolosi
Pasquale,Marazzi,60,16200,60993,influenza
Carolina,Lombardo,80,16100,653602,niente
Teresa,Bajamonti,80,16000,155364,tubercolosi
Benito,Gucci,70,16400,293370,covid-19
Ludovico,Gremese,60,16300,545812,covid-19
Tatiana,Zanzi,30,16600,871872,polmonite
Tatiana,Cilea,40,16100,616630,covid-19
Ramona,Gori,40,16700,517175,polmonite
Telemaco,Travaglia,70,16200,274660,covid-19
Luigi,Tamburini,40,16800,382221,influenza
Pomponio,Priuli,30,16000,337829,malaria
Nicolò,Nolcini,50,16500,917413,colera
Eraldo,Olivetti,60,16300,531859,covid-19
Lina,Battisti,70,16100,11931,niente
Beatrice,Proietti,40,16700,480579,tubercolosi
Lucrezia,Gibilisco,30,16600,890714,colera
Elmo,Leone,20,16000,10936,niente
Gianpietro,Zichichi,80,16800,940082,tifo
Girolamo,Fuseli,50,16400,639752,malaria
Michelangelo,Bajamonti,80,16800,585637,tubercolosi
Giosuè,Beffa,80,16400,774026,influenza
Niccolò,Majewski,80,16700,327171,covid-19
Emma,Trillini,0,16100,185165,covid-19
Roman,Vismara,20,16300,114459,niente
Lidia,Tozzo,90,16000,619144,ebola
Pietro,Soprano,80,16000,957398,tifo
Stefani,Lattuada,50,16800,368076,ebola
Ugo,Trincavelli,30,16600,934928,niente
Melania,Fantini,40,16600,137768,colera
Salvatore,Filogamo,10,16200,155215,ebola
Rodolfo,Baggio,50,16100,421760,polmonite
Ubaldo,Udinesi,50,16600,761344,tifo
Licia,Guicciardini,0,16800,252483,niente
Edoardo,Cibin,90,16600,524880,ebola
Bernardo,Peranda,0,10000,15194,colera
Fabrizia,Benigni,20,16600,495185,tifo
Piermaria,Martinelli,20,10000,994847,colera
Giorgio,Rocca,0,16500,965380,covid-19
Ippazio,Gianinazzi,0,16800,23292,tifo
Dionigi,Campano,40,16800,88782,malaria
Franco,Schiaparelli,70,16700,518342,tubercolosi
Greco,Volta,60,16400,231240,tubercolosi
Saverio,Germano,20,16500,997749,influenza
Renata,Toldo,50,16800,937411,covid-19
Gioacchino,Asmundo,80,16000,325244,ebola
Veronica,Marangoni,90,16200,610588,influenza
Luciana,Contrafatto,80,16100,113951,ebola
Oreste,Ricci,60,16200,321035,colera
Giovanna,Schiaparelli,80,16000,229845,colera
Rodolfo,Geraci,80,16400,164300,niente
Martino,Majewski,90,16800,986586,ebola
Milo,Valier,0,16300,13416,niente
Aurora,Borsellino,20,16500,94917,ebola
Armando,Petrucci,60,16800,331096,tifo
Cesare,Caironi,0,16300,154767,malaria
Sandro,Pavanello,60,16900,410664,tubercolosi
Antonino,Cipolla,60,16100,94345,tifo
Donna,Berrè,60,16000,115523,influenza
Francesca,Satriani,20,16400,690340,malaria
Leonardo,Brichese,70,16700,806991,tifo
Loretta,Sansoni,0,16500,272468,tifo
Lolita,Canova,90,16900,217027,covid-19
Micheletto,Gentili,0,16200,779757,covid-19
Mattia,Taliercio,40,16400,284624,tifo
Maria,Pucci,60,16000,424125,malaria
Emilio,Padovano,30,16800,829789,colera
Etta,Tebaldi,90,16500,744012,colera
Fabrizia,Carnera,70,16900,910335,covid-19
Graziano,Nolcini,50,16700,61285,tubercolosi
Martino,Mercantini,30,16900,478447,colera
Carlo,Sanudo,40,16000,904867,niente
Chiara,Benigni,20,16000,167137,influenza
Ivo,Adinolfi,20,16000,696074,polmonite
Luciana,Juvara,40,16800,733617,tubercolosi
Alberico,Rapisardi,70,16800,952112,influenza
Tullio,Nitti,50,16800,496210,malaria
Roberto,Soprano,70,16000,741972,ebola
Serena,Baggio,70,16000,114930,polmonite
Gino,Guicciardini,70,16900,130768,influenza
Lodovico,Raurica,0,16800,237668,covid-19
Sergius,Bellò,30,16000,116703,tifo
Pierina,Rinaldi,80,16700,483585,influenza
Armando,Gregorio,30,16700,168978,malaria
Maurilio,Cutrufo,30,16100,465500,influenza
Bernardo,Borsellino,0,16200,891007,covid-19
Laura,Cendron,0,10000,458545,malaria
Ubaldo,Scarlatti,0,16100,958567,ebola
Gaspare,Ortolani,0,16000,791611,covid-19
Elena,Doglioni,80,16800,285708,tubercolosi
Giovanna,Veltroni,30,16800,466834,niente
Mario,Camicione,90,16300,512435,tubercolosi
Mariano,Iacobucci,40,16100,430862,niente
Edoardo,Novaro,0,16400,448470,colera
Rosalia,Dulbecco,30,10000,675358,colera
Mariano,Bernardi,80,16100,366490,influenza
Maria,Boccaccio,80,16400,789881,polmonite
Ennio,Brenna,50,16000,582741,colera
Ugo,Magnani,80,16000,912142,tubercolosi
Loredana,Lerner,30,16500,838649,tifo
Ciro,Iacobucci,20,16700,520108,colera
Cassandra,Segrè,90,16400,382289,covid-19
Graziella,Scarpa,40,16800,697505,influenza
Giacomo,Serlupi,10,16000,550103,ebola
Maria,Brugnaro,90,16800,37100,tubercolosi
Venancio,Loredan,30,16800,335571,influenza
Temistocle,Almagià,90,10000,622585,covid-19
Edoardo,Mercantini,40,16100,565677,polmonite
Leopoldo,Borromeo,90,16400,105972,covid-19
Roberto,Errigo,0,16600,326438,malaria
Bernardo,Ovadia,30,16600,401097,polmonite
Alberto,Panzera,30,16700,939279,polmonite
Gustavo,Zacco,20,16300,955484,malaria
Concetta,Tolentino,10,16000,208290,malaria
Vanessa,Antonetti,80,16800,524524,niente
Beppe,Aldobrandi,40,16400,46589,malaria
Carmelo,Petruzzi,10,16000,245555,niente
Gaspare,Giannelli,70,16000,164088,polmonite
Alessandro,Borrani,50,16900,468484,niente
Amanda,Varano,30,16600,925738,ebola
Germana,Salvemini,50,16500,923726,influenza
Liliana,Pedersoli,30,16800,679947,tubercolosi
Camillo,Lancisi,90,16400,994781,malaria
Ottone,Paltrinieri,40,16600,561519,tifo
Raffaello,Tomei,90,16400,578036,polmonite
Ivo,Dallapé,60,16400,295355,colera
Ermenegildo,Baracca,0,16000,2492,tubercolosi
Venancio,Abatantuono,0,16800,286289,tubercolosi
Elmo,Ungaretti,40,16000,444030,tifo
Ottone,Pulci,30,16000,27304,colera
Filippa,Vigorelli,0,16300,176554,niente
Severino,Mocenigo,0,16300,878748,tifo
Lina,Rinaldi,80,16300,954532,malaria
Ottone,Sonnino,10,16500,795783,malaria
Rita,Mercati,0,16300,426269,covid-19
Virginia,Righi,30,16000,115816,tubercolosi
Bruno,Onio,40,16900,726028,polmonite
Gino,Borrani,10,16000,795724,malaria
Pierina,Cerutti,20,16400,157753,covid-19
Ernesto,Dossetti,70,16200,338846,tifo
Adriana,Chiappetta,30,16000,694535,polmonite
Annunziata,Romiti,80,16300,839676,polmonite
Silvio,Marenzio,90,16000,318212,polmonite
Romeo,Camiscione,80,16900,70650,ebola
Flora,Fuseli,80,16200,600297,niente
Iolanda,Rosiello,20,16200,257554,tifo
Donato,Tamborini,80,16800,600363,ebola
Azeglio,Tolentino,80,16200,737437,polmonite
Giampaolo,Cainero,40,16500,472157,ebola
Ernesto,Faugno,40,16000,455493,ebola
Arnulfo,Mogherini,80,16800,282192,niente
Lando,Opizzi,0,16000,4052,colera
Alberto,Guglielmi,40,16500,710912,polmonite
Elvira,Piccinni,20,16200,618712,covid-19
Massimo,Jilani,40,16000,638828,polmonite
Renata,Babato,30,16000,434440,colera
Ignazio,Gabbana,30,16000,653167,colera
Elvira,Agnesi,70,16900,53302,niente
Azeglio,Treccani,30,16700,921720,tubercolosi
Dolores,Iacovelli,30,16000,675179,tifo
Simone,Grimani,20,16700,250825,colera
Gino,Pignatti,50,16000,997594,colera
Silvia,Chinnici,60,16000,185604,influenza
Uberto,Piazzi,0,16300,194031,polmonite
Antonella,Goldstein,70,16500,901604,malaria
Galasso,Pedroni,50,16700,606587,colera
Vincenza,Cavanna,10,16000,698443,polmonite
Mercedes,Basso,50,16100,752125,tubercolosi
Camilla,Boito,70,16300,788517,influenza
Amedeo,Peranda,80,16000,577414,influenza
Liliana,Gigli,80,16500,593469,covid-19
Federigo,Finotto,10,16200,13744,polmonite
Milena,Caccianemico,30,16700,515459,niente
Vincentio,Galilei,20,16000,849771,colera
Coluccio,Zaguri,80,16000,752140,covid-19
Giancarlo,Mastandrea,70,16700,939899,covid-19
Milena,Agostini,10,16500,595530,niente
Alberto,Cheda,90,16800,182195,malaria
Tiziano,Giammusso,50,16300,45163,malaria
Gianfrancesco,Petralli,80,16200,818360,ebola
Camillo,Palumbo,80,16000,714996,ebola
Amanda,Palmisano,70,16200,24198,niente
Gino,Federici,40,16600,532199,covid-19
Marta,Costanzi,40,16200,22482,tifo
Ottavio,Armani,40,16000,495137,tifo
Fiorino,Saffi,60,16200,832679,tubercolosi
Giulio,Caffarelli,50,16500,842141,covid-19
Simone,Dellucci,20,16200,815050,tifo
Paolo,Malipiero,60,16200,22326,covid-19
Lazzaro,Pareto,50,16100,287511,polmonite
Gianfrancesco,Bossi,70,16100,771352,tifo
Alessio,Torricelli,0,16900,308187,polmonite
Raffaella,Filzi,0,16000,439590,malaria
Tonia,Druso,10,16200,444982,polmonite
Margherita,Gori,40,16400,990549,ebola
Corrado,Foconi,90,16700,125748,tifo
Dionigi,Malipiero,70,16900,968307,niente
Gianpaolo,Bassi,10,16000,755578,tifo
Martino,Badoglio,50,16600,836432,covid-19
Giorgia,Vasari,20,16800,201506,tifo
Silvestro,Opizzi,80,16300,495562,influenza
Ugolino,Marini,80,16300,364226,ebola
Antonina,Pausini,90,16000,376695,polmonite
Concetta,Spadafora,80,16400,923219,covid-19
Pomponio,Strangio,0,16300,8198,influenza
Lando,Trebbi,0,16000,966453,colera
Camillo,Bacosi,30,16900,530420,malaria
Luca,Napolitano,60,10000,775250,tubercolosi
Osvaldo,Brambilla,70,16700,60847,colera
Tiziano,Fantoni,90,16700,288321,niente
Graziano,Barbarigo,70,16000,558007,tifo
Ermanno,Travia,10,16400,83233,niente
Ermes,Lucciano,10,16500,628166,covid-19
Marta,Boiardo,90,16200,578003,tubercolosi
Ranieri,Gramsci,80,16000,555841,malaria
Raffaele,Fattori,90,16400,362777,colera
Virginia,Trevisani,10,16500,151362,polmonite
Francesca,Campise,50,16700,377086,niente
Antonietta,Petrucelli,90,16000,262284,influenza
Atenulf,Offredi,60,16600,616672,ebola
Claudia,Vitturi,40,16900,113691,covid-19
Amico,Gabrieli,30,16700,283489,niente
Fulvio,Casagrande,20,16800,103200,tubercolosi
Rocco,Antonucci,40,16000,800873,malaria
Enzio,Salvo,40,16900,326752,covid-19
Isa,Canevascini,90,16700,771966,covid-19
Gino,Miniati,0,16400,344362,colera
Ugolino,Iannotti,20,16000,623476,covid-19
Claudio,Natta,30,16200,159725,niente
Alfredo,Carducci,20,10000,85600,niente
Daniele,Sgalambro,40,16700,743916,tubercolosi
Daria,Lupo,90,16900,588165,malaria
Gianluca,Emo,0,16800,306797,niente
Elisa,Vidoni,50,16000,134691,polmonite
Martino,Dibiasi,0,16600,915776,covid-19
Enzo,Cimini,90,16200,595086,malaria
Adriana,Catenazzi,10,16200,464335,colera
Michelotto,Jacuzzi,60,16400,220899,tifo
Livio,Bartoli,30,16000,42160,polmonite
Gioachino,Fieramosca,10,16400,44504,tifo
Renata,Fieramosca,60,16500,363261,malaria
Livia,Ferrata,20,16800,759487,tifo
Giacomo,Vergassola,60,16400,774641,tubercolosi
Donna,Gagliardi,50,16000,394942,covid-19
Orazio,Surian,40,16000,459743,tifo
Gionata,Bocca,0,16700,765532,covid-19
Emilio,Filangieri,80,16000,805194,colera
Luca,Giunti,90,16000,330932,colera
Marissa,Sraffa,0,16600,884612,tifo
Roberto,Rusticucci,30,16200,243319,colera
Paolo,Trevisan,40,16600,25542,ebola
Adelasia,Saraceno,10,16300,6201,colera
Lodovico,Zanazzo,10,16000,717054,tubercolosi
Concetta,Squarcione,20,16400,247701,niente
Graziella,Pedrazzini,60,16000,626232,tubercolosi
Pellegrino,Zaccardo,0,16900,321316,ebola
Rosaria,Duse,50,16700,785351,ebola
Ermanno,Ficino,30,16300,653631,tifo
Germana,Binaghi,30,16000,479364,covid-19
Umberto,Borzomì,0,16700,640097,malaria
Imelda,Dandolo,30,16900,489032,malaria
Sandro,Traetta,70,16700,133011,ebola
Giulia,Casaleggio,0,16000,729129,ebola
Letizia,Orengo,10,16500,326046,tifo
Aria,Garobbio,70,16100,850559,niente
Rosario,Gottardi,20,16900,975702,tifo
Giacomo,Sabatini,60,16300,942030,malaria
Ruggiero,Romiti,80,16300,830902,colera
Bartolomeo,Antonello,20,16000,94450,tubercolosi
Carla,Ammaniti,80,16300,697774,influenza
Beppe,Sagredo,80,16800,871294,covid-19
Fiorenzo,Sobrero,10,16100,612572,influenza
Mauro,Brenna,70,16900,801665,ebola
Michela,Gramsci,20,16500,652440,influenza
Simone,Monteverdi,60,16000,727851,influenza
Vincenzo,Tremonti,60,16100,757159,influenza
Delfino,Gabbana,70,16300,538408,covid-19
Federigo,Serao,70,16800,562726,colera
Camillo,Mocenigo,60,16700,533036,colera
Roberta,Turchetta,60,16900,126164,malaria
Sabatino,Borsiere,50,16800,46005,tubercolosi
Marissa,Surian,30,16300,259206,colera
Flavio,Gentileschi,90,16000,89490,polmonite
Calogero,Maggioli,50,16200,602941,niente
Amanda,Pigafetta,0,16100,75353,tubercolosi
Laureano,Regge,40,16200,544450,malaria
Annibale,Verdone,0,16100,344657,ebola
Ludovica,Metella,80,16800,998859,ebola
Milo,Magnani,70,16000,352590,covid-19
Angelica,Innocenti,70,16600,676921,colera
Giulietta,Carriera,0,16800,739890,ebola
Marta,Lussu,40,16300,428687,ebola
Lolita,Tarchetti,90,16000,330940,niente
Azeglio,Romagnoli,40,16900,929552,tubercolosi
Atenulf,Colletti,60,16600,378842,niente
Ignazio,Cherubini,60,16500,778356,niente
Luca,Mercati,0,16000,271619,ebola
Camilla,Navone,40,16900,132313,covid-19
Gioacchino,Mazzocchi,80,16000,511466,ebola
Tonino,Treves,40,16500,617601,covid-19
Giulio,Luzi,10,16200,321102,niente
Susanna,Briccialdi,50,16000,73234,polmonite
Amadeo,Nicolucci,20,16900,915790,influenza
Fabia,Geraci,60,16400,128322,tifo
Lisa,Pietrangeli,90,16100,653564,malaria
Annibale,Ferrucci,80,16600,933923,malaria
